,index,artists,track_name,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,gen hoshino,comedy,False,0.676,0.461,1,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,87.917
1,1,ben woodward,ghost - acoustic,False,0.42,0.166,1,-17.235,0.0763,0.924,5.56e-06,0.101,0.267,77.489
2,3,kina grannis,can't help falling in love,False,0.266,0.0596,0,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,181.74
3,4,chord overstreet,hold on,False,0.618,0.443,2,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949
4,5,tyrone wells,days i will remember,False,0.688,0.481,6,-8.807,0.105,0.289,0.0,0.189,0.666,98.017
5,7,jason mraz,i'm yours,False,0.703,0.444,11,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96
6,10,zack tabudlo,give me your forever,False,0.627,0.363,8,-8.127,0.0291,0.279,0.0,0.0928,0.301,99.905
7,11,jason mraz,i won't give up,False,0.483,0.303,4,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406
8,12,dan berk,solo,False,0.489,0.314,7,-9.245,0.0331,0.749,0.0,0.113,0.607,124.234
9,15,landon pigg,falling in love at a coffee shop,False,0.489,0.561,4,-7.933,0.0274,0.2,4.56e-05,0.179,0.238,83.457
10,23,jason mraz,93 million miles,False,0.572,0.454,3,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,140.182
11,24,jason mraz,unlonely,False,0.796,0.667,5,-4.831,0.0392,0.381,0.0,0.221,0.754,97.988
12,27,jason mraz,if it kills me,False,0.633,0.429,4,-6.784,0.0381,0.0444,0.0,0.132,0.52,143.793
13,32,chord overstreet,all i want for christmas is a real good tan,False,0.593,0.455,6,-8.192,0.0388,0.366,0.0,0.0914,0.564,202.019
14,36,kt tunstall,lonely this christmas,False,0.409,0.153,6,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262
15,37,brandi carlile,throwing good after bad,False,0.501,0.0952,2,-12.931,0.054,0.963,1.58e-05,0.0915,0.316,138.016
